"ID","OCAK","SUBAT","MART","NISAN","MAYIS","HAZIRAN","TEMMUZ","AGUSTOS","EYLUL","EKIM","KASIM","ARALIK","YILLIK"
1,108.2,91,65.4,51.2,47.3,20.5,6.3,5.6,17.9,42,71.1,120.1,646.6
2,136.8,103.5,90.5,66,42.5,7.7,1.1,0.7,5.8,46,76,133,709.6
3,44,40.3,45.2,46.4,54.8,38.7,20.8,12.2,20.7,35.3,33.8,46.8,439
4,44.9,48.7,50.8,69.8,69.4,43.9,21.4,11.9,17.9,56,45.6,43.5,523.8
5,39,33.8,40.4,46.3,41.3,24.9,6,4,8.8,25.7,31.9,43.9,346
6,49.5,38,48,55.9,52.5,37.9,14.6,9.2,20.3,35.3,44.2,54.7,460.1
7,39.6,35.3,38.5,42.6,51.2,33.9,13.7,11.5,17.9,27.6,31.6,43.8,387.2
8,236.3,156.2,96.8,52.5,31.5,9.4,2.5,2.7,14.5,72,131.4,261.1,1066.9
9,19.2,20.8,30.9,52.3,82.1,94.5,70.3,62.7,35.2,37,28.9,22.7,556.6
10,85.8,72.3,60.8,54.2,52.2,50,30.9,29.6,37.5,61.4,77,88.5,700.2
11,115.1,94.5,70.3,48.8,35.1,13.6,3.8,2.2,12.8,44,82.6,122.3,645.1
12,83.9,69.5,60.8,50.3,41.2,25,8.4,6.1,22.1,45.7,75.7,95,583.7
13,112.6,84.4,76.6,59.2,52.1,71.2,61.9,76.5,86,114.3,114.4,131.3,1040.5
14,61.3,68,74.6,73,46.2,7.2,0.7,0.7,3.8,32.4,54.6,66.1,488.6
15,27.1,27.9,40.4,62.9,69.2,50,20.4,14.2,21.5,44.5,33.5,29.2,440.8
16,50.2,42.5,47.2,41.8,47.2,38.9,18.2,11.9,21.7,40.4,37.4,55.2,452.6
17,138.5,134.6,128.7,116.8,74.5,21.3,5.6,3.2,11.7,66.2,107.9,134.6,943.6
18,158.8,173.4,174.1,166.1,100.2,22.9,6,4.4,18.5,97.3,146.1,157.9,1225.7
19,58,48.6,50.1,51,59,54.5,27.9,22,28.8,40.4,45.6,59.4,545.3
20,57.3,42.4,45,44.1,45.1,26.8,12.1,7.7,15.3,32.4,37,62.7,427.9
21,89.1,76.7,70.1,63,49.2,33.3,21.6,16.6,42,66.8,78.4,100.7,707.5
22,91,71.6,66.8,45.4,30.2,23.7,10.9,6.5,22.9,53.8,86.9,106.5,616.2
23,44.5,35.1,38.6,44.8,57.6,42.1,17.6,17.6,17.2,26.3,26,44.9,412.3
24,39.1,29.7,38.2,47.4,61.8,52.3,19,13.7,21.9,27.3,33.6,43.2,427.2
25,90.3,73.5,63.9,53.4,42.7,25.1,13.3,8.3,14.6,34.5,55.8,89.2,564.6
26,70.7,68.6,65.5,68.2,42.9,8.1,0.7,0.4,3.9,31.8,54.1,70.8,485.7
27,90.5,70.1,73.6,60.7,62,59,42.5,51.1,51.5,81.3,81.4,102.3,826
28,65.9,52.3,51.7,47.9,53.1,45.7,31.5,22.6,37.5,56.6,68.1,69.3,602.2
29,41,43.4,53.8,63.7,51,11.7,2.3,0.7,8,41,49,43.9,409.5
30,27.5,30.8,41.8,52.6,52.6,30.8,11,6.4,15.3,40.7,35.8,28.2,373.5
31,22.5,27.3,35,53.5,73.1,49.1,26.8,17.5,23.9,48.2,33.3,22.6,432.8
32,40.3,33.1,35.4,38.8,44.7,33.1,12.8,8.5,15.9,28.1,30.4,46,367.1
33,102.2,83.3,71.8,52.2,30.8,6.7,2.8,1.9,5.8,35.9,62.3,96.7,552.4
34,127.5,101.5,97.5,76.1,66.8,77.5,79.4,89.5,129.2,164.7,151.9,126.8,1288.4
35,36.6,32.8,43.8,60.4,68,46.8,12.4,12.9,22.2,45.2,42.3,40.8,464.2
36,91.4,106.5,120.2,126.1,64.7,16.1,4.1,2.8,7.1,62.1,87.2,94.4,782.7
37,192,170.4,143.1,103.2,78.6,24.7,6.9,6.8,39.3,77.6,100.8,183.2,1126.6
38,15.1,16.3,22,34.1,46.4,32.6,13.9,9.5,11,26.1,18.1,13.5,258.6
39,80.6,68.8,58.9,53.2,55.7,33.2,13.7,12.1,18.6,37.7,45.2,87.1,564.8
40,104.4,78.2,71.5,46.1,34.2,35.9,32.5,40.1,60.6,87.8,101.2,122.7,815.2
41,131.2,102.5,75.8,46.2,31,9.9,1.7,2.9,13.9,43.6,93.5,143.7,695.9
42,129.3,112.8,97.5,73.4,40.6,6.8,1.1,0.9,9.2,46.8,82.5,126.8,727.7
43,52.6,34.7,43.3,50.6,57.5,48.2,24.6,23.6,30,39.3,33.3,51.2,488.9
44,40.9,35.5,36,36.3,36.5,22.5,4.4,4.1,7.6,27.8,32.6,46.6,330.8
45,21.2,22.4,29.6,51.7,80.5,77.3,57.9,43.4,28.9,40.8,26.2,22.3,502.2
46,30.1,27.3,34.6,51.9,74.5,70.7,31.8,30.8,30.3,35.2,29.3,33.7,480.2
47,35.2,36.5,41.8,52.1,51.8,39.5,9.5,6.8,13.9,28,32.4,37.4,384.9
48,43.9,31.8,35.9,44.8,51,36.8,10.9,10.2,13.7,28.9,31.8,43.7,383.4
49,61.5,50.9,46.7,44.9,49.6,47.7,24.6,21.3,34.1,53.4,66,69.4,570.1
50,48.3,35.7,39,42.2,44.8,33.9,6.6,5,12,26.6,36.4,47.9,378.4
51,84,73,68.9,48.4,25.7,6.9,1.2,2.6,5.2,33.6,56.4,86.3,492.2
52,94.2,72.8,72.5,54.5,46.3,52.3,36.5,44.9,54.1,89.9,82.5,114.2,814.7
53,37.5,29,28.4,32.1,43.5,24.7,6.4,4.7,12.5,29.9,31.7,42,322.4
54,71.9,59.9,57.4,50.7,55.2,37.2,18.4,14.9,23.2,40.1,49.8,78.1,556.8
55,42.1,40.7,48.9,54.7,44.5,17.1,2.2,1.8,6.6,35.9,42,39.9,376.4
56,123.8,107.9,78.5,56.6,39.7,16.6,5.8,5.3,16.7,50.6,89.6,137.7,728.8
57,118,105.1,97.5,82.2,43.3,4.1,1.1,0.5,1.9,32.6,70.9,110.2,667.4
58,115.4,86.5,54.3,34.1,23.1,8.9,7,4.2,8.9,38.5,78.3,133.1,592.3
59,240.8,180.3,124.5,64.7,49.6,21.4,8.5,8.2,19.2,72.5,138.3,266.6,1194.6
60,90.5,100.2,104.5,105.7,67.6,27.5,6.6,3.7,14.4,64.1,89.6,90.1,764.5
61,42.6,42.1,46.9,50.3,58.4,33.6,8.5,4.6,12.8,30.1,35.6,49.1,414.6
62,34.8,33.6,35.6,42.1,49,27.5,4.5,5.5,10,26.8,31.3,40.4,341.1
63,97.2,79.3,78.7,69,55.7,75.5,64.6,68.2,80.9,132.7,127,113.4,1042.2
64,98.6,106.8,123.4,82.2,71.7,34.3,11,6.1,30.8,71.7,96.1,94.8,827.5
65,233.1,186.3,161.9,96.5,94.9,135.8,152.8,194.9,255.1,295.8,258.3,238.7,2304.1
66,94.6,76.3,76.1,59,50.7,70.1,48.3,45.6,53.8,79,77.9,107.5,838.9
67,70.5,59.1,65.8,57.3,48.3,45.3,34.8,37.2,54,79.3,84,81.9,717.5
68,97.5,98.2,111,104.4,61.8,8.8,1.6,0.9,5,49.6,81.4,95.2,715.4
69,73.2,52,52,38.5,34.6,34.7,32.9,40.8,67.4,87.6,84.2,89.9,687.8
70,42.8,39.7,44.8,57.7,61,33.9,8.2,5.5,17.4,33.2,40.9,44.1,429.2
71,88.3,69.8,62.8,49.3,25.8,3.4,0.6,0.6,2.6,24.5,44.5,78.8,451
72,88,106.1,109,103,51.9,4.3,1.8,0.1,5.2,45.5,77.4,88,680.3
73,68.3,54.3,54.7,40.7,36.9,37.9,22.5,13.2,33.9,61.7,75.3,81.4,580.8
74,40.9,33.8,40.8,54.2,58.9,38.2,11.2,5.6,17.7,39.3,44,47.1,431.7
75,81.9,63.1,59.9,56.1,51.3,49.9,36,45.3,79.7,116.1,97.2,82.3,818.8
76,125.6,110.1,113,107.4,70.6,18.7,3.2,2.8,15.1,63.7,102.1,130.3,862.6
77,74.9,66,58.8,50.4,48.3,27.7,14.9,9.6,16.3,40.4,58.7,81.7,547.7
78,34.9,33.8,46.8,55.8,45.2,18.3,5.4,3.7,13.7,47.2,46.8,36.9,388.5
79,92.6,73,74.4,53.6,35.2,38.2,23.2,28.9,54,83.5,80.1,113.1,749.8
80,66.9,60.6,64.7,59.4,66.8,43.2,12,8.1,16.9,34.8,53.6,74.6,561.6
81,112.6,84.4,76.6,59.2,52.1,71.2,61.9,76.5,86,114.3,114.4,131.3,1040.5
