"ID","OCAK","SUBAT","MART","NISAN","MAYIS","HAZIRAN","TEMMUZ","AGUSTOS","EYLUL","EKIM","KASIM","ARALIK","YILLIK"
1,-8.1,-6.6,-4.9,-1.3,5.6,9.2,11.5,14.8,9.3,3.5,-4.3,-4.4,-8.1
2,-14.4,-10,-7,-2,3.4,10.6,15,15.8,9.6,2.2,-3.5,-8.4,-14.4
3,-27,-25.3,-17,-7.6,-3.1,1,4,2.4,-3.2,-7.9,-23.1,-27.2,-27.2
4,-45.6,-42.8,-39.6,-25.6,-9,-3,1.7,1.2,-4.1,-20.1,-31.6,-39.8,-45.6
5,-26.4,-29,-19,-7.5,-0.2,2.9,6.8,5.9,1,-6,-14,-21.9,-29
6,-21,-20.4,-15.3,-5.1,-0.1,4.8,8.5,8.8,3,-2.9,-9.5,-12.7,-21
7,-24.9,-24.2,-19.2,-7.2,-1.6,3.8,4.5,5.5,-1.5,-9.8,-17.5,-24.2,-24.9
8,-4.3,-4.6,-1.6,1.4,6.3,11.1,14.8,13.6,10.3,4.9,0,-1.9,-4.6
9,-39.8,-38.7,-33.2,-22.2,-8.5,-4.5,-2.2,-2.8,-5.8,-15,-28.9,-36.3,-39.8
10,-16.1,-11.9,-9.8,-7.1,-0.6,3.7,9.5,9.5,4.2,-1.6,-8.2,-10.8,-16.1
11,-11,-5.4,-5,-0.8,4.6,8.4,13.4,11.8,7.6,1.6,-4.7,-5.3,-11
12,-13.8,-18.8,-8,-4,0.6,4,9.1,6,4,-2.3,-7.9,-12.9,-18.8
13,-15.4,-18.6,-13.1,-4.5,-1.3,5.3,8,6.7,1.5,-3.2,-5.6,-10.6,-18.6
14,-24,-22.2,-17,-9,0.9,5,11.8,11.1,4.4,-3,-7.8,-23,-24
15,-31.3,-27.6,-28.3,-12.7,-4.4,-1.6,0.2,2.4,-2.1,-10.6,-23.6,-29,-31.3
16,-16,-14.3,-11.6,-6,1,5,7.7,8.2,3.2,-0.8,-9.2,-14.5,-16
17,-23.2,-21.6,-20.3,-9.2,1,3.5,8.8,7.8,4.2,-2.4,-15,-25.1,-25.1
18,-24.1,-22,-20.3,-15.6,-2.5,1,7,7,1.8,-6,-17,-21.9,-24.1
19,-31.5,-34,-22,-11.5,-4.5,4.8,0.8,1.4,-2.5,-6.8,-24.8,-29.1,-34
20,-16.7,-15,-11.6,-7,-0.4,3.8,9,8.8,3,-2.4,-12,-15.3,-16.7
21,-20.5,-25.7,-10.5,-4.2,0.8,4,8.3,7.6,3.3,-1,-8.4,-17.9,-25.7
22,-11,-11.5,-8.5,-1.6,1.4,6.6,11.2,9.4,5.9,0.4,-7,-10.5,-11.5
23,-25,-24,-20.5,-8.9,-3,1.6,4.3,4.6,-2,-6.3,-19.4,-18.8,-25
24,-25.6,-27.2,-23.3,-9.4,-4.3,0.2,3.4,3,-3,-6.3,-21.5,-21.6,-27.2
25,-10.5,-11.4,-7,-2,2.7,7.9,12.6,11.6,6.6,-0.8,-4.5,-10.4,-11.4
26,-24.2,-21,-14,-6.1,0.8,3.5,9.9,11.4,4,-1.8,-12.9,-23.4,-24.2
27,-20.5,-17.3,-13.6,-3,0.4,6.6,8.8,7.6,4.5,-1.2,-6.8,-16.5,-20.5
28,-19.5,-19,-12,-4.1,0.7,6,8,8.9,0.2,-3.7,-9.4,-14.9,-19.5
29,-22.6,-21.4,-17,-7,0,4,6.7,10.2,1,-2.2,-15.2,-22.6,-22.6
30,-32.5,-32.4,-22.4,-11.1,-4.2,2,4.8,5.9,0.3,-6.8,-17.4,-25.9,-32.5
31,-36,-37,-33.2,-22.4,-7.1,-5.6,-1.8,-1.1,-6.8,-14.1,-34.3,-37.2,-37.2
32,-27.8,-23.8,-16.5,-10.4,-2.2,0.5,5,2.2,-3.7,-7.1,-16.7,-26.3,-27.8
33,-17.5,-15.6,-11,-4.3,0.4,4.5,9,10.8,3.4,-3.9,-9.7,-15,-17.5
34,-6.2,-9.8,-5.8,-1.4,4,6.8,12.1,12.1,4.8,4.2,-4.7,-2.4,-9.8
35,-23.6,-25.7,-22.6,-11,-2.8,1.8,4.5,4.9,-1,-4.8,-15,-21,-25.7
36,-23.4,-22.7,-19,-8.3,-0.8,5,10,2.1,4.3,-5.8,-15,-21.3,-23.4
37,-14.6,-6.8,-4.2,1.5,7.7,11.6,15.9,15.4,7.9,2.3,-3,-6.6,-14.6
38,-28.4,-28,-22.2,-7.6,-1.4,2.4,8,7.2,1.6,-7,-15.6,-30.3,-30.3
39,-19.2,-21,-18.5,-7.7,-1.2,1.2,4.9,6.4,-0.8,-4.2,-11.5,-15.4,-21
40,-13.9,-16.1,-11.1,-2,2.8,7.1,10.5,10.2,6,0.6,-7.2,-10.8,-16.1
41,-8.2,-5.2,-3.8,0.6,4.3,9.5,15.4,11.5,10,3.6,-2.9,-4.7,-8.2
42,-9,-9.6,-7.6,-1.8,4.7,4.9,4.8,7,2.4,0,-5.6,-7.6,-9.6
43,-15.1,-14.2,-9.2,-5.8,0.1,4.6,8.9,8.9,3.4,-3.1,-6.4,-12,-15.1
44,-26.8,-28,-20.2,-8.3,-3.1,3.1,4.4,3.6,-1,-8.5,-21.2,-26.1,-28
45,-36.7,-37,-31.5,-22.6,-7,-4,0.1,-1.9,-4.4,-17.5,-30,-35,-37
46,-26.9,-22.3,-19.7,-8.5,-3.6,0.2,3.8,0.9,-1.5,-7.5,-19.3,-23.7,-26.9
47,-32.5,-31.2,-28.1,-11.6,-6.9,-0.6,2.9,1.4,-3.8,-12.2,-20.7,-28.3,-32.5
48,-22.4,-21.6,-20.6,-10.1,0.4,4.6,7.4,7.2,2.7,-5,-9.7,-18,-22.4
49,-15.8,-15,-11.8,-3,1.4,5.8,8.8,8.7,3,-3.4,-7.2,-11.1,-15.8
50,-28,-25.3,-21.8,-8.2,-1.4,2.6,5.1,5,-1.2,-6.6,-21.5,-24.3,-28
51,-12,-12,-6.8,-4.4,1.5,7.4,13.1,12.9,8.5,0.4,-4.4,-8,-12
52,-13.1,-18,-6.5,-1,1.8,4,10.1,10.9,4.9,2.4,-3.4,-8.8,-18
53,-28.2,-26.5,-16.4,-8.6,-1.2,1.8,6,5.3,-3,-11,-20,-26,-28.2
54,-26.3,-27.4,-16.6,-7.8,-2.8,0.5,2.6,-0.2,-3.9,-6.9,-18.3,-28.1,-28.1
