"ID","OCAK","SUBAT","MART","NISAN","MAYIS","HAZIRAN","TEMMUZ","AGUSTOS","EYLUL","EKIM","KASIM","ARALIK","YILLIK"
1,5.1,5.9,8.2,11.8,15.7,19.7,22.8,23.2,19.9,15.6,10.6,6.8,13.8
2,1.3,2.3,5.5,9.9,14.3,19.6,23.6,23.3,18.9,13.6,7.5,3.2,11.9
3,-3.5,-2.5,0,4.2,8.1,11.1,13.6,13.5,9.7,5.7,1.6,-1.5,5
4,-15.7,-14.5,-8.1,0.6,5.3,8.1,12,11.7,6.7,1.9,-3.6,-10.9,-0.5
5,-3.7,-2.3,1.2,5.5,9.5,13,16,15.7,11.1,6.7,1.8,-1.6,6.1
6,-0.9,0.2,3,7.2,11,14.3,16.6,16.6,12.8,8.5,3.8,1.2,7.9
7,-3.3,-2.4,0.6,5.3,9.6,12.8,15.8,15.9,11.7,7,2.4,-0.9,6.2
8,6,6.4,8,11.2,15.1,19.6,22.6,22.6,19.3,15.2,10.7,7.5,13.7
9,-16.9,-16,-9.1,-1.2,3.1,5.8,8.8,8.5,4.3,-0.1,-5.6,-12.9,-2.6
10,-0.3,0.3,2.8,7.1,11.2,14.2,16.8,17.1,14.1,10.2,5.6,1.6,8.4
11,4.3,5,6.6,10,14.2,18.1,20.4,20.2,16.6,12.7,8.8,5.6,11.9
12,1.3,1.9,3.3,6.9,11,15,17.7,17.9,14.1,10.2,6.1,3.1,9
13,0.3,0.6,2.4,6,9.9,13.4,15.6,15.6,12.1,8.8,4.6,1.9,7.6
14,-1.5,0.1,3.6,7.9,11.4,15.9,20.3,19.8,15.1,10.1,4,0.4,8.9
15,-10.7,-9.5,-4.3,1.7,5.6,8.2,11.1,10.9,7.2,3.4,-1.9,-7.2,1.2
16,-0.4,0.3,2.4,6.7,10.8,14.1,16.2,16.3,13.1,9.5,5.6,1.8,8
17,-6.1,-5.1,-0.3,5.7,10.1,14.7,19,18.6,13.5,8.2,2.1,-3,6.4
18,-6.6,-5.8,-2,3.2,7.4,11.5,15.6,15.1,10.7,6.3,0.9,-4.3,4.3
19,-3.7,-2.8,-0.7,3.5,7.4,10.1,12.2,12.5,9.3,6,2,-1.4,4.5
20,-0.9,-0.3,1.9,6,10.1,13.9,16.9,16.8,12.8,8.4,4,0.8,7.5
21,1.7,2.1,3.5,7.2,11.3,14.8,17.1,17.1,13.6,10.1,6.4,3.5,9
22,3.1,3.3,4.6,8.2,12.6,16.5,19.2,19.4,15.8,12,8.4,5.1,10.7
23,-4,-3.3,-0.2,4.5,8.6,11.8,14.1,13.8,9.5,5,0.5,-2,4.9
24,-4.4,-3.5,-0.9,3.7,7.4,10.2,12.4,12.5,9.1,5.2,0.8,-2.2,4.2
25,2.3,2.9,5.2,9,13.2,17.3,20.1,19.7,15.7,11.3,6.9,3.9,10.6
26,-2.4,-1,2.4,7,11.2,16.5,21.6,21,15.9,10,4.1,-0.3,8.8
27,0.3,1.2,3.4,7.2,11.1,14.5,16.8,16.8,13.3,9.7,5.1,2.2,8.5
28,-0.6,0.3,2.8,7.1,11.6,15.3,17.3,17.1,13.3,9.1,5,1.2,8.3
29,-4.1,-3.1,0.8,6.4,10.9,15.3,19.4,19.2,14.5,8.8,3.1,-1.3,7.5
30,-7.2,-5.5,-0.9,4.6,8.7,12,15.4,15.2,10.7,5.7,0.7,-4.2,4.6
31,-13.9,-12.6,-7.2,0.1,4.4,7.4,11.2,11.2,6.5,1.8,-3.6,-10.3,-0.4
32,-3.7,-2.9,-0.6,3.7,7.9,11.2,13.7,13.5,9.5,5.3,1.3,-1.5,4.8
33,-0.8,0,2.9,7.2,11.8,17,21,20.9,16.1,9.9,4.4,0.9,9.3
34,4.6,4.3,5.2,8.4,12.8,16.9,19.8,20.2,17.2,13.6,10,6.7,11.6
35,-5.7,-5,-1.2,3.7,7.6,10.7,13.7,13.7,10,5.9,0.8,-3.3,4.2
36,-8.1,-6.9,-1.9,3.9,9.1,14,18.2,18.1,13.9,7.8,1,-5,5.3
37,4.7,5.8,8.5,12.2,16.4,20.8,23.9,24.5,21.1,15.2,9.5,5.9,14
38,-8.2,-5.6,0,6.1,10.5,14.1,17.8,17,12,5.9,0.2,-4.8,5.4
39,-2,-1.4,0.8,4.8,8.6,12.3,15.3,15.1,10.9,6.7,2.6,-0.4,6.1
40,3.2,3.1,4.2,7.7,12.1,16.5,19.5,20.1,16.8,13,8.9,5.4,10.9
41,5.7,6.1,7.6,11.1,15.3,19.7,22.4,22.2,18.6,14.5,10.6,7.5,13.4
42,1.3,2.3,5.6,9.8,13.9,18.5,21.7,21.9,18.1,12.8,7.2,3.1,11.3
43,-0.5,0.4,2.7,6.8,10.7,13.8,16.5,16.4,12.7,8.7,3.7,0.9,7.7
44,-3.8,-2.7,0.4,4.9,8.7,12.4,15,14.5,10.2,5.6,1,-1.9,5.4
45,-16.4,-15,-8.5,-0.6,3.8,6.6,9.8,9.7,5.2,0.4,-4.8,-12.1,-1.8
46,-4.6,-3.6,-0.9,3.4,7.6,10.4,12.3,12.2,8.9,5.1,0.9,-2.5,4.1
47,-6.9,-5.3,-1.6,3.2,6.8,9.7,11.9,11.4,7.3,3.5,-0.9,-4.5,2.9
48,-2.9,-1.8,1.4,6.1,10.2,13.8,16.7,16.5,12.2,7.4,2.2,-0.8,6.8
49,0,0.8,2.9,7.1,11.6,15.4,17.7,17.5,13.9,9.7,5.7,2,8.7
50,-4.3,-3.2,-0.3,4.3,8.6,12.3,15.5,15.5,10.9,6,1.1,-2,5.4
51,2.2,3.1,5.9,9.8,14.1,18.2,21,21.2,18.4,14.1,8.1,3.9,11.7
52,3.1,3.2,4.6,8.4,12.7,16.4,18.8,19.1,15.9,12.3,8.6,5.2,10.7
53,-4.1,-3.4,-0.3,4.3,8.6,12.6,15.8,15.5,10.9,5.8,0.8,-2.4,5.3
54,-3.3,-2.5,-0.3,3.8,7.8,10.8,13,13,9.1,5.5,1.9,-1.2,4.8
55,-3.4,-2.2,2.1,7.5,11.9,16.1,19.8,19.8,15.4,9.8,3.9,-0.9,8.3
56,3,3.6,5.2,8.8,13.2,17.4,20.3,20.2,16,11.6,7.4,4.5,10.9
57,0.5,1.3,4.5,9.7,14.9,20.1,24.4,24.6,20.6,14.5,7.9,2.7,12.1
58,6.2,6.7,9.1,12.8,16.7,20.7,23.8,24.1,20.8,16.2,11.4,7.8,14.7
59,1.6,1.9,3.5,7,11.4,16.1,19.6,19.6,15.2,10.3,5.9,3.2,9.6
60,-11,-9.8,-3.1,4.2,8.7,12.6,16.9,16.8,12.1,6.7,0.4,-6.2,4
61,-3.8,-2.8,0.5,5,8.7,11.4,13.4,13.2,10.1,6.6,2.2,-1.7,5.2
62,-4.6,-3.5,-0.3,4.3,8.3,11.8,14.7,14.4,10.3,5.9,1.1,-2.6,5
63,3.8,3.9,5.1,8.3,12.4,16.5,19.4,19.9,16.7,12.9,8.7,5.7,11.1
64,3.4,4.5,7.1,10.9,14.8,18.8,22.5,23.1,19.3,14.2,8,4.7,12.6
65,3.8,3.6,4.8,8.3,12.6,16.6,19.5,19.9,16.9,13.1,9.1,5.6,11.1
66,2.9,3.2,4.5,8.1,12.2,15.7,17.8,17.8,14.3,10.9,7.4,4.9,10
67,4,3.8,4.6,7.8,12.1,16.1,19,19.6,16.4,12.8,9.3,6.2,11
68,-0.6,0.5,4,8.9,13.5,18.9,23.4,23.1,18.7,12.7,6.3,1.6,10.9
69,4.5,4.1,4.9,7.9,12.1,16.7,19.8,20.2,17.2,13.6,9.9,6.7,11.5
70,-7.5,-6.4,-2.2,3,6.9,9.5,11.6,11.6,8,4.1,-0.3,-4.5,2.8
71,1.9,2.8,5.7,10.2,15.1,20.4,24.2,23.9,19.9,14.4,8.4,3.8,12.6
72,-1.1,-0.1,3.2,7.7,12.8,18.3,22.4,22.9,18.5,12.1,5.3,0.6,10.2
73,1.9,2.4,4,8.1,12.7,16.6,18.9,19.2,16,12,8,4.2,10.3
74,-1.7,-0.7,2.4,6.6,10.1,13.1,15.4,15.6,12.1,8.1,3.4,0.2,7
75,4.6,4.3,5.4,8.7,12.9,17.1,20,20.5,17.4,13.7,10,6.7,11.8
76,-5.7,-4.2,0.9,6.2,10.2,14.5,18.9,18.4,13.3,8.2,2,-2.5,6.7
77,-1.3,-0.7,1.3,5.2,9.2,12.6,15.4,15.5,11.8,7.9,3.8,0.6,6.8
78,-7.7,-7.2,-3,2.5,6.9,10.7,14.5,14.5,10.6,5.6,0.2,-4.7,3.6
79,3.2,3.4,4.5,8,12,15.7,17.9,18.2,15,11.9,8.2,5.2,10.3
80,-5.4,-4.7,-1.6,3.2,7.3,10.4,12.8,12.9,9.3,5.3,0.7,-2.8,4
81,3.4,3.4,4.5,8,12.1,15.8,18,18.1,15.3,12.2,8.8,5.6,10.4
