"ID","OCAK","SUBAT","MART","NISAN","MAYIS","HAZIRAN","TEMMUZ","AGUSTOS","EYLUL","EKIM","KASIM","ARALIK","YILLIK"
1,14.8,16,19.4,23.6,28.2,31.7,33.8,34.7,33.1,29,22.6,16.7,25.3
2,8.6,10.3,14.9,20.6,26.6,33.1,37.8,37.6,32.9,25.5,17.1,10.6,23
3,4.5,6.4,10.8,16.4,21.3,25.7,29.4,29.5,25.2,19.3,12.7,6.5,17.3
4,-5.5,-3.6,1.9,11.6,18.6,24.1,29.1,29.9,25.3,17.1,7.8,-1.8,12.9
5,5.4,7.3,12.4,17.9,22.9,27,30.6,30.6,26.5,20.9,13.7,7.5,18.6
6,6.9,9.6,14.5,20.3,24.9,28.6,31,31.4,27.7,21.7,14.5,8.6,20
7,4.2,6.3,11.4,17.3,22.3,26.6,30.2,30.4,25.9,19.9,13,6.4,17.8
8,14.9,15.5,17.9,21.3,25.6,30.8,34.1,34,31,26.5,21.2,16.7,24.1
9,-5,-3.4,2.6,10.7,16.1,20.1,23.8,24.5,20.6,14.3,6.3,-2.1,10.7
10,6.2,8.2,12.3,17.8,21.9,24.2,25.7,26.3,23.8,19.5,13.3,7.7,17.2
11,13,14.7,17.8,22.6,28.1,33.3,36.1,35.7,32,26.2,19.8,14.4,24.5
12,8.9,10.5,13.6,19.2,24.5,29.1,31.2,31.2,27.7,22,15.9,10.6,20.4
13,9.1,10.4,13.2,17.9,22.3,26,28.1,28.2,24.9,20.5,15.8,11.1,19
14,7.6,10.6,15.8,21.6,27.7,34.9,39.4,39.4,34.4,26.6,16.9,9.6,23.7
15,-1.1,0.4,5.6,13,18.2,22.6,27,27.5,23.3,16.6,8.7,1.6,13.6
16,5.9,7.7,11.4,17,21.9,25.8,28.3,28.6,24.8,19.4,13.6,8,17.7
17,2.1,3.6,9.3,16.5,22.8,29.3,34.5,34.6,29.6,21.5,12.5,5,18.4
18,1.1,2.2,6.1,12.9,19.2,25.3,30.4,30.7,26.2,18.5,10.1,3.2,15.5
19,5.2,7,11,16.7,21.4,24.7,27.4,27.9,24.3,19.3,13.3,7.4,17.1
20,6.7,8.6,12.5,17.6,23,28,31.8,32.1,27.7,21.4,14.3,8.3,19.3
21,9.4,10.7,13.7,18.9,23.8,28.3,30.8,31,27.2,22,16.6,11.5,20.3
22,9.5,10.1,12.3,17.2,22.6,27.6,30.6,30.5,26.2,20.7,15.9,11.6,19.6
23,3.5,6,11.7,17.9,22.8,27.1,31,31.2,26.5,20.1,12.2,5.5,18
24,4.2,6.4,11.4,17.5,22.1,25.9,29,29.4,25.5,19.9,12.8,6.2,17.5
25,10.5,12.2,15.9,20.8,26.3,31.3,34.5,34.3,29.9,23.7,17.3,12.2,22.4
26,6.6,9,14.4,20.4,26.6,33.5,38.4,38.2,33.3,25.3,16.3,9.1,22.6
27,8.1,10.1,13.4,18.8,23.3,27,29,29,25.8,20.7,15.5,10.1,19.2
28,6.5,9.1,13.1,19.1,24.6,29.1,31.7,31.7,27.2,20.6,14,8.3,19.6
29,2.8,4.8,10.7,17.7,23.6,29.6,34.2,34.1,29.3,21.4,12.6,5.5,18.9
30,1.5,3.5,9.4,16.7,22.2,26.9,31.4,31.9,27.2,19.9,11.6,4.3,17.2
31,-4,-2.4,2.4,10.9,16.8,21.7,26.4,27.1,22.6,15.1,6.8,-1.1,11.9
32,3.8,6.2,11.3,17,21.9,26,28.9,29.3,25.3,19.6,12.6,6,17.3
33,7.4,9.3,13.8,19.6,25.4,31.1,35.1,35.2,31,24.2,16.2,9.6,21.5
34,10.5,10.6,11.7,15.1,18.9,23.4,26,26.6,23.6,19.9,16.2,12.8,17.9
35,2.9,5,9.8,15.9,20.8,24.5,27.7,28.7,25.2,18.7,10.6,4.8,16.2
36,-0.4,1.1,6.5,12.9,19.3,25.8,30.8,30.9,26.4,18.5,9.8,2.4,15.3
37,12,14.4,18.1,22.5,26.4,29.2,31.1,31.9,30.9,27.3,20.2,13.7,23.1
38,2,5.4,12.5,19.8,24.5,29.3,33.3,33.1,28.8,21.1,12.7,4.8,18.9
39,6.3,7.7,11.6,16.6,21.8,26.5,30.3,30.6,26.4,20.5,13.9,8.1,18.4
40,8.5,9,10.9,15.5,20,24.6,26.6,26.8,23.7,19.2,14.8,10.7,17.5
41,12.4,13.5,16.2,20.8,26,30.7,33.1,32.9,29.1,23.9,18.5,14,22.6
42,9.3,10.8,15.8,21.2,26.7,31.8,35.5,36.1,32.3,26,17.8,11.1,22.9
43,7.4,10.4,14.8,20.3,25.5,29,32.3,32.5,28.3,21.9,14.4,8.8,20.5
44,5.5,7.2,12.4,18.1,23.1,27.7,31.1,31,27.1,20.6,13.6,7.5,18.7
45,-5,-3,2.7,11.3,16.8,21,25.4,26.2,22.1,15,6.7,-1.6,11.5
46,3.1,6,10.8,16.5,21.2,24.6,27.8,28,23.8,18.1,10.9,4.8,16.3
47,4,6,11.2,17.7,22.6,26.8,30.6,30.8,26.5,20.4,13,6.4,18
48,4.1,6.8,12.5,18.1,23,27.5,31,30.9,26.7,20.6,12.6,6.1,18.3
49,6.7,8.4,12,17.8,23.4,27.9,30.6,30.5,26,19.7,13.6,8.6,18.8
50,4.5,6.5,11.2,17.1,21.9,26.2,29.7,29.9,25.9,19.9,12.9,6.8,17.7
51,9.7,11.6,16.1,21.5,27.5,32.9,36.2,36.2,32.7,26.3,18.2,11.6,23.4
52,9.6,10.4,13,18.5,23.2,27.4,29.4,29.6,26,20.9,16.3,11.7,19.7
53,4.7,6.9,11.7,17.5,22.3,26.7,30.1,30.2,26,19.9,13.1,6.5,18
54,4.6,6.5,10.7,16.2,21.1,25,28,28.4,24.5,19,12.7,6.5,16.9
55,3.1,5.3,11.5,18.3,23.9,29.5,33.8,33.7,29,21.3,12.5,5.4,18.9
56,10.8,12.6,16.1,21.3,27,32.1,34.9,34.9,30.6,24.3,17.5,12.5,22.9
57,5.7,7.2,11.5,17.3,23.8,30.5,34.9,34.6,30,22.7,14.4,8,20.1
58,14.6,15.4,18.1,21.6,24.9,28.1,30.6,31.4,29.9,26.6,21.5,16.4,23.3
59,9.8,10.8,14.1,18.7,24.2,29.5,33.3,33.4,29.1,23.1,16.7,11.5,21.2
60,-3.2,-1.4,5.8,14.6,21.2,27.4,32.9,33.1,28.2,19.8,9.8,0.8,15.8
61,3.8,5.3,10.1,15.8,20.5,24.7,28.4,28.4,24.3,18.1,11.7,5.9,16.4
62,4.8,6.3,10.9,16.7,21.4,25.7,29.3,29.5,25.6,19.6,12.9,7,17.5
63,10.8,10.9,12.1,15.2,19.2,24,26.8,27.3,24.3,20.2,16.4,12.9,18.3
64,14.5,16,19,23.4,27.5,31.3,33.5,34.3,32.1,28,21.4,15.9,24.7
65,10.6,10.7,11.8,15.3,19.3,23.4,25.8,26.4,23.8,20.3,16.4,12.7,18
66,9.7,11,13.7,18.9,23.4,27.5,29.3,29.4,26.3,21.2,16.6,11.9,19.9
67,10.7,10.9,12,15.3,19.1,23.6,26.4,27,23.9,20.3,16.7,13,18.2
68,6.5,8.7,13.2,19.1,25.2,32.1,37,36.9,32.1,24.3,15.4,8.7,21.6
69,9.7,9.6,10.5,14,18.2,23,25.8,26.2,23,19.2,15.5,11.9,17.2
70,0.7,2.4,7.8,15,20,23.9,27.7,28.4,24.5,18.4,10.7,3.5,15.2
71,9.8,11.8,16.3,22.2,28.6,34.5,38.7,38.3,33.8,26.9,18.7,11.9,24.3
72,6,7.2,11.2,16.2,22.1,28.4,33.3,33.3,28.7,21.2,13.1,7.7,19
73,8,8.9,10.9,15.7,20.6,25.3,28,28.2,24.4,19.5,14.7,10.3,17.9
74,6.1,8.2,13,19,23.5,26.8,29,29.7,26.5,20.7,13.7,7.8,18.7
75,10.7,10.7,11.9,15.4,19.1,23.2,25.9,26.6,23.7,20,16.5,12.9,18.1
76,2.8,4.8,11.1,18,23.9,29.9,35,35.2,30.4,22.6,13.5,5.5,19.4
77,6.8,8.1,11.6,16.7,21.7,26.5,30.2,30.5,26.2,20.2,14,8.7,18.4
78,1.8,2.6,6.4,12.8,18.5,23.9,28.2,28.4,24.2,17.3,10.2,4.3,14.9
79,9.9,10.6,12.5,16.9,21.4,25.9,28.3,28.4,24.9,20.6,16.2,12,19
80,2,3.5,7.9,13.9,18.8,22.6,25.9,26.3,22.5,16.9,10.3,4.4,14.6
81,9.2,9.5,10.8,14.9,18.8,22.9,25.1,25.3,22.3,18.6,15.2,11.5,17
