"ID","OCAK","SUBAT","MART","NISAN","MAYIS","HAZIRAN","TEMMUZ","AGUSTOS","EYLUL","EKIM","KASIM","ARALIK","YILLIK"
1,4.4,5.2,6,7.1,9.1,10.4,10.5,10.3,9,7.3,6.6,4.3,90.2
2,3.5,4.4,5.5,7.3,9.4,12.6,12.3,11.4,10,7.2,5.3,3.5,92.4
3,3,4.1,5.1,6.3,8.2,10,11.2,10.5,8.5,6.3,4.5,2.5,80.2
4,2.1,3,4.2,5.5,7.5,9.5,10.2,10.1,9.1,6.3,4.2,2.1,73.8
5,3.1,4.3,5.5,7.1,9.1,11.2,12.1,11.4,10.6,7.1,5.1,3.1,89.7
6,2.1,3.1,4.3,5.5,7.3,8.6,9.5,9.2,7.4,4.6,3.2,2.6,67.4
7,2.5,3.5,5.2,6.3,8.3,10.1,11.3,10.6,9.2,6.5,4.4,2.4,80.3
8,5.2,5.6,6.5,8.1,10.6,11.4,12.1,11.4,10,8.1,6.3,5,100.3
9,2.4,3.4,5.6,5.3,6.5,8.4,8.5,8.3,7.3,5.3,3.5,2.3,66.8
10,2.2,3.2,4.2,5.2,6.3,7.1,6.5,6.6,6.3,4.4,3.1,2.1,57.2
11,4.1,4.4,5.5,6.5,8.4,10.2,10.5,10.2,8.5,6.5,4.4,4,83.2
12,2.9,3.6,4.7,6.3,8.7,10.7,11.6,10.9,8.6,6.2,4.2,2.5,80.9
13,2.1,3.1,4.1,5.5,7.2,8.6,9.5,9.2,7.3,5.1,3.3,2.2,67.2
14,3.1,4.3,5.4,7.2,9.2,11.5,12.1,11.3,10,7.1,5.2,3,89.4
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,3.2,3.6,4.5,6.1,8,9.4,10.3,10,8.2,5.5,4.2,3.1,76.1
17,3.2,4.2,5.6,5.4,7.2,9.3,9.5,9.2,8.3,6.2,4.3,3.1,75.5
18,2.4,3.3,5,5.9,7.4,9.3,9.8,9.7,9.2,5.4,2.9,2,72.3
19,2.1,3,4.1,5.3,7.1,8.3,9.2,9,7.1,5,3.3,2.1,65.6
20,3.5,4.6,5.5,7,9.6,10.6,11.5,11,9.2,7.1,5.3,3.2,88.1
21,2.5,3.3,4.2,5.5,7.5,10.6,10.5,10.1,8.6,5.4,4.1,2.6,74.9
22,3.2,4.2,5.3,7.3,9.3,11.1,12.6,11.2,9,6.3,4.3,3.2,87
23,2.1,3.2,5,6.1,7.5,9.3,10.4,10.6,8.3,6.1,3.5,1.5,73.6
24,2.2,3.3,4.5,6.1,7.3,9.6,10.1,10,8.2,5.3,3.4,2,72
25,3.5,4.3,5.4,7.6,9.1,11,11.6,11.6,9.2,6.5,5,3.3,88.1
26,3.8,4.8,5.6,7.1,9.6,12.2,12.4,11.7,10,7.5,5.6,3.9,94.2
27,1.5,3.6,3.5,5.2,7,8.4,9.1,8.3,6.4,4.2,2.5,1.5,61.2
28,2.3,3.4,4.4,6.4,8.3,10.6,11,10.3,8.1,5.3,3.3,2.2,75.6
29,2.4,3.4,5,6.3,8.4,11.6,11.4,11.6,9.1,6.4,4.3,2.2,82.1
30,3.6,4.6,5.1,6.6,7.4,10.6,11.1,10.3,8.6,6.3,4.3,2.5,81
31,3.2,4.3,5.1,6.3,7.9,10.2,11.2,10.6,9,6.7,4.8,3,82.3
32,2.6,3.7,5.1,6.4,8.6,10.5,11.7,11.1,9.1,6.3,4.3,2.4,81.8
33,3.4,4.3,5.4,7.1,8.6,10.5,11.1,10.3,9.1,7.2,5.3,3.4,85.7
34,1.5,2.4,2.5,3.6,5.1,6.5,5.5,5,4.1,3,3.2,1.5,43.9
35,1.2,3.5,5,6,7.3,9.1,10,9.4,7.6,5.3,2.2,0.5,67.1
36,4,5.2,5.6,6.4,9.6,11.5,12.2,11.3,10.1,7.2,5.2,3.6,91.9
37,3.2,4.3,6,7.3,9.3,10.6,11.3,10.5,9.3,7.1,5.6,3.2,87.7
38,2.3,4,5.2,6,7.3,9.4,10.1,9.4,8.4,6.1,4.2,2.3,74.7
39,3.5,4.4,5.5,6.5,8.3,10.2,11.2,10.5,9.3,7.1,5.2,3.2,84.9
40,3.6,3.4,4.4,6.3,8.5,10.4,11.3,10.4,8.2,5.4,4,2.5,78.4
41,4.2,5.1,6.2,7.5,9.5,11.4,12.2,11.6,10.1,7.3,5.3,4.1,94.5
