id,sehir,mgm_url,url
1,Adana,ADANA,adana
2,Adıyaman,ADIYAMAN,adiyaman
3,Afyonkarahisar,AFYONKARAHISAR,afyonkarahisar
4,Ağrı,AGRI,agri
5,Aksaray,AKSARAY,aksaray
6,Amasya,AMASYA,amasya
7,Ankara,ANKARA,ankara
8,Antalya,ANTALYA,antalya
9,Ardahan,ARDAHAN,ardahan
10,Artvin,ARTVIN,artvin
11,Aydın,AYDIN,aydin
12,Balıkesir,BALIKESIR,balikesir
13,Bartın,BARTIN,bartin
14,Batman,BATMAN,batman
15,Bayburt,BAYBURT,bayburt
16,Bilecik,BILECIK,bilecik
17,Bingöl,BINGOL,bingol
18,Bitlis,BITLIS,bitlis
19,Bolu,BOLU,bolu
20,Burdur,BURDUR,burdur
21,Bursa,BURSA,bursa
22,Çanakkale,CANAKKALE,canakkale
23,Çankırı,CANKIRI,cankiri
24,Çorum,CORUM,corum
25,Denizli,DENIZLI,denizli
26,Diyarbakır,DIYARBAKIR,diyarbakir
27,Düzce,DUZCE,duzce
28,Edirne,EDIRNE,edirne
29,Elazığ,ELAZIG,elazig
30,Erzincan,ERZINCAN,erzincan
31,Erzurum,ERZURUM,erzurum
32,Eskişehir,ESKISEHIR,eskisehir
33,Gaziantep,GAZIANTEP,gaziantep
34,Giresun,GIRESUN,giresun
35,Gümüşhane,GUMUSHANE,gumushane
36,Hakkari,HAKKARI,hakkari
37,Hatay,HATAY,hatay
38,Iğdır,IGDIR,igdir
39,Isparta,ISPARTA,isparta
40,İstanbul,ISTANBUL,istanbul
41,İzmir,IZMIR,izmir
42,Kahramanmaraş,K.MARAS,kahramanmaras
43,Karabük,KARABUK,karabuk
44,Karaman,KARAMAN,karaman
45,Kars,KARS,kars
46,Kastamonu,KASTAMONU,kastamonu
47,Kayseri,KAYSERI,kayseri
48,Kırıkkale,KIRIKKALE,kirikkale
49,Kırklareli,KIRKLARELI,kirklareli
50,Kırşehir,KIRSEHIR,kirsehir
51,Kilis,KILIS,kilis
52,Kocaeli,KOCAELI,kocaeli
53,Konya,KONYA,konya
54,Kütahya,KUTAHYA,kutahya
55,Malatya,MALATYA,malatya
56,Manisa,MANISA,manisa
57,Mardin,MARDIN,mardin
58,Mersin,MERSIN,mersin
59,Muğla,MUGLA,mugla
60,Muş,MUS,mus
61,Nevşehir,NEVSEHIR,nevsehir
62,Niğde,NIGDE,nigde
63,Ordu,ORDU,ordu
64,Osmaniye,OSMANIYE,osmaniye
65,Rize,RIZE,rize
66,Sakarya,SAKARYA,sakarya
67,Samsun,SAMSUN,samsun
68,Siirt,SIIRT,siirt
69,Sinop,SINOP,sinop
70,Sivas,SIVAS,sivas
71,Şanlıurfa,SANLIURFA,sanliurfa
72,Şırnak,SIRNAK,sirnak
73,Tekirdağ,TEKIRDAG,tekirdag
74,Tokat,TOKAT,tokat
75,Trabzon,TRABZON,trabzon
76,Tunceli,TUNCELI,tunceli
77,Uşak,USAK,usak
78,Van,VAN,van
79,Yalova,YALOVA,yalova
80,Yozgat,YOZGAT,yozgat
81,Zonguldak,ZONGULDAK,zonguldak
