"ID","OCAK","SUBAT","MART","NISAN","MAYIS","HAZIRAN","TEMMUZ","AGUSTOS","EYLUL","EKIM","KASIM","ARALIK","YILLIK"
1,26.5,28.5,32,37.5,41.3,42.8,44,45.6,43.2,41.5,34.3,30.8,45.6
2,19.9,23.8,28.3,34.5,39,41.5,45.3,44.2,40.3,36.1,29.4,26.5,45.3
3,17.4,21.8,26.4,30.2,33,35.8,39.8,38.2,35.6,31.3,25.3,21,39.8
4,9.6,13,21.5,27.2,32.7,39.8,39.8,39.9,35.3,29.2,19.8,16,39.9
5,19.4,21.8,29,31.8,33.8,36.9,40,38.8,36.7,34.5,35,22,40
6,21.3,24.8,31.2,35.8,37.5,41.8,45,42.2,40.3,36,29.7,22.9,45
7,16.6,21.3,27.8,31.6,34.4,37,41,40.4,36,33.3,24.7,20.4,41
8,23.9,25.9,28.8,36.4,38.7,44.8,45,44.6,42.5,38.7,33,25.4,45
9,11,11,18.4,25,26.4,29,34.3,35,30.6,26,18.2,14.3,35
10,18.9,21.5,28.4,34.4,36.4,39,42,43,39.5,33.9,27.9,20.9,43
11,23.2,27.4,32.4,35.4,40.2,44.4,44.6,43.8,43.3,38,30.7,25.9,44.6
12,23.5,25.2,30.7,35.2,38.5,42.5,43.2,43.7,40.3,36.4,29,26.1,43.7
13,23.2,27.2,31.6,34.1,39.1,38,42.8,41.3,37.8,37.1,29,27.7,42.8
14,18.2,23.5,30.6,35.8,42,45.1,48.8,46.2,43.8,37,28.6,22.6,48.8
15,10.3,13.9,21.2,25.3,29.6,32.4,36.2,37.1,33.7,28.8,20,18.2,37.1
16,20.4,24.6,30.2,33.3,35.8,38.2,41,40.6,38.4,34.3,27.4,25,41
17,13.3,16.2,22.3,30.3,33.4,39,42,41.3,37.8,32.1,25.5,22.8,42
18,15.1,21.9,23,27.8,29.4,34,38,37.4,35.5,30.2,22,15.6,38
19,19.8,24.1,29.3,31.8,34.4,37,39.3,39.8,37.3,34.4,27,23.5,39.8
20,16.8,23.4,27.8,30.7,34.1,38.1,40.7,41,38.1,32.4,25.6,20.5,41
21,23.8,26.9,32.5,36.2,38.2,41.3,43.8,42.6,40.1,37.3,34,27.3,43.8
22,20,21.3,27.3,30.8,34.4,36.8,39,38.7,35.9,31.7,26.2,22.9,39
23,15,22,29,31,34.8,39.6,42.4,41.8,37.8,34.2,24.4,18.2,42.4
24,17.5,20.4,28.6,30.4,35.1,37.5,42.6,40.2,38.7,33.6,25.6,19.2,42.6
25,22.6,25.9,30.8,35.8,37,44.1,43.9,44.4,41.6,34.4,29.9,26.6,44.4
26,16.9,21.3,28.3,35.3,39.8,42,46.2,45.9,42,35.7,28.4,22.5,46.2
27,24.5,26.9,32.2,34.7,39,39,42.4,42,38.3,38.2,30.2,29.2,42.4
28,19.3,23.3,28,33.5,37.1,42.6,44.1,41.9,39.9,35.8,28,22.8,44.1
29,12.4,18.6,26.4,32.2,34.4,38.6,42.2,41.4,37.8,32.1,24.3,24.6,42.2
30,14,17.2,25.2,30.4,33.8,35.6,40.6,40.5,36.6,31.4,24.9,23.2,40.6
31,8,10.6,21.4,26.5,29.8,32.2,35.6,36.5,33.3,27,20.7,14,36.5
32,20.2,22.3,29.1,31.2,34.3,36.8,40.6,39,37,33,25.6,21.4,40.6
33,19,24.3,28.1,34,37.8,39.6,44,42.8,40.8,36.4,27.3,25.2,44
34,24.9,29.5,34.9,36,35.4,36.2,35.3,35.2,32.9,37.3,32.8,28,37.3
35,14.8,18,24,29,32.5,36.2,41,40,37,32,22.1,19.2,41
36,11.8,12.2,19.7,25,28.7,33.7,38.8,38,37.1,29.3,20.8,17.5,38.8
37,20.5,26.6,30.5,37.5,42.5,43.2,43.4,43.9,42.6,39.2,32.5,25.1,43.9
38,18.3,22.2,27,33.4,35,39.2,41.5,42,38.1,33,26.2,22.2,42
39,18.4,22.5,29.5,29.5,33.1,38.1,42.3,41.2,35.6,33.2,26.3,22.3,42.3
40,22,24.7,29.3,33.6,34.5,40.2,41.5,40.5,37.9,34.2,27.8,25.8,41.5
41,21.4,27,30.5,32.5,37.6,41.3,42.6,43,40.1,36,30.3,25.2,43
42,18.7,25.3,29.8,38.1,38,42,45.2,47.5,41.3,37.2,29.6,24,47.5
43,22.1,24.8,32.5,34.9,38.8,40.6,44,44.1,40.8,37.2,27,23.7,44.1
44,21.2,22.3,29.6,32.3,34.4,37.5,40.4,40.4,37.9,33.2,25.8,22.3,40.4
45,8.4,12,18.8,25,27,31.4,35.4,35.4,32.6,26.8,21.9,13.2,35.4
46,17.3,21.1,27.8,31.4,35.1,37.5,42.2,40.2,36.5,32.5,24.7,21.1,42.2
