"ID","OCAK","SUBAT","MART","NISAN","MAYIS","HAZIRAN","TEMMUZ","AGUSTOS","EYLUL","EKIM","KASIM","ARALIK","YILLIK"
1,10.3,10.1,9.5,8.5,6.1,2.9,0.9,0.7,2.6,5.3,6.7,10.1,73.7
2,12.3,11.9,11.9,11.2,8.3,2.5,0.6,0.4,1.4,6.6,8.7,11.9,87.7
3,12.5,12.1,11.9,11.5,12.1,7.7,3.7,3.1,4.4,7.4,8.5,12.4,107.3
4,11.9,11.5,12,14.1,15.5,10.2,5.8,4,4.4,9.2,8.5,11.1,118.2
5,9.8,10.1,10.5,10.7,10.4,6,1.5,1.3,2.8,5.7,7.2,10.4,86.4
6,12.2,11.1,12.6,13.4,12.9,8.8,3.3,2.6,4.8,8,9.3,12.5,111.5
7,12.1,11.2,10.7,11.1,12.1,8.4,3.5,2.6,4,6.8,8.1,11.7,102.3
8,12.8,10.8,8.8,6.7,5.3,2.5,0.6,0.6,1.8,5.6,7.5,12.1,75.1
9,9.5,9.8,11.5,13.8,17,15.5,11.4,10.9,7.7,9.6,9,9.7,135.4
10,12.8,12.7,13.2,12.8,13.9,12.7,8.2,8.1,8.5,10.9,10.8,11.7,136.3
11,12.6,10.3,9.5,8.4,6.2,2.4,0.7,0.5,2,5.6,8.2,13,79.4
12,14.3,11.8,11.5,9.3,7.5,4.5,1.6,1.4,3.4,6.7,9.4,13.7,95.1
13,16.3,14.6,14,12,10.3,8.8,6.9,6.7,8.6,11.9,12.8,17.1,140
14,11,10.4,11.6,11.5,8.2,2.3,0.4,0.4,1.1,5.7,7.3,10,79.9
15,11.2,10.8,12.6,13.9,15.8,10.5,5.1,4.4,5,8.8,9,10.8,117.9
16,13.8,12.7,12.6,10.5,10.1,7.4,3.9,3.3,5,8.4,9.7,13.1,110.5
17,12.5,12.4,13.6,15,13.7,5.4,1.8,1.3,2.5,8.3,9.2,12.5,108.2
18,13.3,13.3,14.9,15.7,14.2,5.7,1.7,1.4,2.7,9.9,10.8,13,116.6
