"ID","OCAK","SUBAT","MART","NISAN","MAYIS","HAZIRAN","TEMMUZ","AGUSTOS","EYLUL","EKIM","KASIM","ARALIK","YILLIK"
1,9.4,10.4,13.3,17.3,21.6,25.5,28,28.4,25.8,21.2,15.5,11,18.9
2,4.5,5.9,10,15.2,20.6,26.8,31.1,30.6,25.7,18.9,11.6,6.5,17.3
3,0.3,1.7,5.3,10.4,15.1,19.1,22.3,22.1,17.7,12.3,6.9,2.3,11.3
4,-10.6,-9.2,-3.2,6,12.1,16.6,21.1,21.2,16.1,9.1,1.6,-6.6,6.2
5,0.5,2.2,6.5,11.6,16.2,20.4,23.8,23.2,18.6,13,6.9,2.4,12.1
6,2.7,4.6,8.5,13.6,17.9,21.7,24.2,24.1,20.1,14.7,8.6,4.6,13.8
7,0.2,1.6,5.7,11.3,16.1,20.1,23.5,23.4,18.7,12.9,7.1,2.4,11.9
8,9.9,10.5,12.7,16.2,20.5,25.3,28.4,28.2,24.8,20.1,15.1,11.4,18.6
9,-11.2,-9.9,-3.4,4.6,9.5,13,16.3,16.3,12.3,6.6,-0.2,-7.7,3.8
10,2.8,3.9,7.1,11.9,15.9,18.8,20.8,21,18.1,14,9.1,4.5,12.3
11,8.2,9.3,11.7,15.9,20.9,25.8,28.4,27.6,23.5,18.4,13.4,9.5,17.7
12,4.8,5.9,8.1,13,17.9,22.4,24.8,24.6,20.7,15.7,10.5,6.6,14.6
13,4.1,4.8,7.1,11.3,15.7,19.8,22.1,21.7,17.8,13.6,9.2,5.8,12.8
14,2.7,5,9.6,14.6,19.8,26.7,31.2,30.2,24.9,17.7,9.8,4.5,16.4
15,-6.4,-5,0.3,7.1,11.8,15.5,19.1,18.9,14.7,9.2,2.6,-3.3,7
16,2.5,3.7,6.4,11.5,16.2,19.9,22.1,22,18.3,13.8,9.1,4.5,12.5
17,-2.4,-1.3,4,10.8,16.3,22.1,26.8,26.4,21.1,14,6.6,0.5,12.1
